name,rating,genres,avg_user_rating
alien-romulus,★★★★,"Science Fiction, Action, Horror",3.7
deadpool-wolverine,★★★,"Science Fiction, Action, Comedy",3.6
a-quiet-place-day-one,★★★,"Thriller, Science Fiction, Horror",3.2
maxxxine,★★★★,"Horror, Crime, Mystery",3.1
the-last-journey-2024,★★★★½,Documentary,3.7
dune-part-two,★★★★★,"Adventure, Science Fiction",4.4
a-heart-is-always-red,★★★½,"Music, Documentary",3.6
godzilla-minus-one,★★★★,"Horror, Science Fiction, Action",4.1
saw-x,★★½,"Thriller, Horror",3.2
the-creator-2023,★★★½,"Action, Science Fiction, Adventure",3.3
poor-things-2023,★★★★½,"Romance, Science Fiction, Comedy",No Rating
teenage-mutant-ninja-turtles-mutant-mayhem,★★★,"Action, Comedy, Animation, Science Fiction",3.8
oppenheimer-2023,★★★★½,"Drama, History",4.2
barbie,★★★½,"Comedy, Adventure",3.8
spider-man-across-the-spider-verse,★★★★★,"Animation, Adventure, Science Fiction, Action",4.4
asteroid-city,★★★½,"Comedy, Drama",3.5
club-zero,★★★,"Comedy, Thriller, Drama",2.9
guardians-of-the-galaxy-vol-3,★★★★,"Action, Adventure, Science Fiction",4.0
john-wick-chapter-4,★★½,"Action, Thriller, Crime",3.9
ant-man-and-the-wasp-quantumania,★★½,"Adventure, Science Fiction, Action",2.2
ufo-sweden,★★★,"Science Fiction, Adventure",3.2
puss-in-boots-the-last-wish,★★★★,"Animation, Family, Fantasy, Comedy, Adventure",4.1
avatar-the-way-of-water,★★★,"Action, Adventure, Science Fiction",3.6
glass-onion,★★★½,"Comedy, Crime, Mystery",3.4
the-banshees-of-inisherin,★★★★½,"Comedy, Drama",4.1
pearl-2022,★★★½,"Horror, Drama",3.7
inside-the-mind-of-a-cat,★★★,Documentary,3.6
trainwreck-woodstock-99,★★★,"Documentary, Music",3.5
nope,★★★½,"Mystery, Science Fiction, Horror",3.7
thor-love-and-thunder,★★★,"Action, Fantasy, Comedy",2.5
obi-wan-kenobi-the-patterson-cut,★★½,Drama,3.1
triangle-of-sadness,★★★½,"Drama, Comedy",3.7
top-gun-maverick,★★★½,"Action, Drama",4.0
doctor-strange-in-the-multiverse-of-madness,★★★,"Fantasy, Adventure, Action",3.0
everything-everywhere-all-at-once,★★★★★,"Science Fiction, Adventure, Comedy, Action",4.3
the-adam-project,★★★,"Science Fiction, Adventure",2.9
the-tinder-swindler,★★★,"Documentary, Crime",3.1
spider-man-no-way-home,★★★½,"Action, Adventure, Science Fiction",3.8
dont-look-up-2021,★★★½,"Science Fiction, Comedy, Drama",3.0
tick-tick-boom-2021,★★★,"Drama, Music",3.8
eternals,★★,"Action, Science Fiction, Adventure",2.7
squid-game,★★★½,"Drama, Mystery",3.7
dune-2021,★★★★★,"Science Fiction, Adventure",3.9
